CAMPUS CORNELIO PROCOPIO
CURSO: ;Administracao - Noturno - 80 Vagas
IDENTIFICACAO;PONTUACAO;CLASSIFICACAO
039708;1140;DESCLASSIFICADO
034039;1140;DESCLASSIFICADO
000025;1140;DESCLASSIFICADO
097856;1077;DESCLASSIFICADO
088258;1077;DESCLASSIFICADO
078660;1077;DESCLASSIFICADO
062384;1077;DESCLASSIFICADO
056715;1077;DESCLASSIFICADO
051046;1077;DESCLASSIFICADO
045377;1077;DESCLASSIFICADO
029267;763;DESCLASSIFICADO
012260;763;DESCLASSIFICADO
000922;763;DESCLASSIFICADO
098539;727;DESCLASSIFICADO
017715;727;DESCLASSIFICADO
012046;727;DESCLASSIFICADO
006377;727;DESCLASSIFICADO
000708;727;DESCLASSIFICADO
069006;718;DESCLASSIFICADO
068950;718;DESCLASSIFICADO
068736;718;DESCLASSIFICADO
063067;718;DESCLASSIFICADO
029323;718;DESCLASSIFICADO
023654;718;DESCLASSIFICADO
023598;718;DESCLASSIFICADO
023384;718;DESCLASSIFICADO
017985;718;DESCLASSIFICADO
017929;718;DESCLASSIFICADO
012316;718;DESCLASSIFICADO
006647;718;DESCLASSIFICADO
006591;718;DESCLASSIFICADO
068789;706;DESCLASSIFICADO
063120;706;DESCLASSIFICADO
023437;706;DESCLASSIFICADO
017768;706;DESCLASSIFICADO
012099;706;DESCLASSIFICADO
000761;706;DESCLASSIFICADO
035127;700;DESCLASSIFICADO
023789;700;DESCLASSIFICADO
006782;700;DESCLASSIFICADO
035188;695;DESCLASSIFICADO
023850;695;DESCLASSIFICADO
012512;695;DESCLASSIFICADO
029458;691;DESCLASSIFICADO
018120;691;DESCLASSIFICADO
012451;691;DESCLASSIFICADO
078655;690;DESCLASSIFICADO
056710;690;DESCLASSIFICADO
051041;690;DESCLASSIFICADO
039703;690;DESCLASSIFICADO
000020;690;DESCLASSIFICADO
098592;688;DESCLASSIFICADO
006430;688;DESCLASSIFICADO
040857;686;DESCLASSIFICADO
029519;686;DESCLASSIFICADO
018181;686;DESCLASSIFICADO
097977;677;DESCLASSIFICADO
068174;677;DESCLASSIFICADO
062505;677;DESCLASSIFICADO
045498;677;DESCLASSIFICADO
000146;677;DESCLASSIFICADO
098353;674;DESCLASSIFICADO
