CAMPUS JACAREZINHO
CURSO: ;Direito - Noturno - 63Vagas
IDENTIFICACAO;PONTUACAO;CLASSIFICACAO
037016;855;DESCLASSIFICADO
031347;855;DESCLASSIFICADO
025678;855;DESCLASSIFICADO
020009;855;DESCLASSIFICADO
014340;855;DESCLASSIFICADO
008671;855;DESCLASSIFICADO
092090;850;DESCLASSIFICADO
060547;850;DESCLASSIFICADO
049209;850;DESCLASSIFICADO
037871;850;DESCLASSIFICADO
003857;850;DESCLASSIFICADO
082492;845;DESCLASSIFICADO
066216;845;DESCLASSIFICADO
054878;845;DESCLASSIFICADO
043540;845;DESCLASSIFICADO
064822;785;DESCLASSIFICADO
059153;785;DESCLASSIFICADO
096566;780;DESCLASSIFICADO
096377;780;DESCLASSIFICADO
092637;780;DESCLASSIFICADO
092448;780;DESCLASSIFICADO
086779;780;DESCLASSIFICADO
066574;780;DESCLASSIFICADO
061094;780;DESCLASSIFICADO
060905;780;DESCLASSIFICADO
055236;780;DESCLASSIFICADO
009884;780;DESCLASSIFICADO
004404;780;DESCLASSIFICADO
004215;780;DESCLASSIFICADO
090696;775;DESCLASSIFICADO
072432;775;DESCLASSIFICADO
070491;775;DESCLASSIFICADO
066763;775;DESCLASSIFICADO
055425;775;DESCLASSIFICADO
053484;775;DESCLASSIFICADO
021411;775;DESCLASSIFICADO
019470;775;DESCLASSIFICADO
015742;775;DESCLASSIFICADO
013801;775;DESCLASSIFICADO
010073;775;DESCLASSIFICADO
008132;775;DESCLASSIFICADO
002463;775;DESCLASSIFICADO
096207;770;DESCLASSIFICADO
092278;770;DESCLASSIFICADO
086609;770;DESCLASSIFICADO
082680;770;DESCLASSIFICADO
072073;770;DESCLASSIFICADO
066404;770;DESCLASSIFICADO
060735;770;DESCLASSIFICADO
055066;770;DESCLASSIFICADO
049397;770;DESCLASSIFICADO
043728;770;DESCLASSIFICADO
009714;770;DESCLASSIFICADO
004045;770;DESCLASSIFICADO
070993;765;DESCLASSIFICADO
025641;765;DESCLASSIFICADO
014303;765;DESCLASSIFICADO
072243;760;DESCLASSIFICADO
049567;760;DESCLASSIFICADO
036979;760;DESCLASSIFICADO
031310;760;DESCLASSIFICADO
019972;760;DESCLASSIFICADO
015553;760;DESCLASSIFICADO
008634;760;DESCLASSIFICADO
066296;755;DESCLASSIFICADO
054958;755;DESCLASSIFICADO
049289;755;DESCLASSIFICADO
003937;755;DESCLASSIFICADO
092170;750;DESCLASSIFICADO
082572;750;DESCLASSIFICADO
071965;750;DESCLASSIFICADO
060627;750;DESCLASSIFICADO
043620;750;DESCLASSIFICADO
090405;745;DESCLASSIFICADO
064531;745;DESCLASSIFICADO
002172;745;DESCLASSIFICADO
091832;740;DESCLASSIFICADO
091739;740;DESCLASSIFICADO
082234;740;DESCLASSIFICADO
082141;740;DESCLASSIFICADO
048951;740;DESCLASSIFICADO
048858;740;DESCLASSIFICADO
043189;740;DESCLASSIFICADO
037613;740;DESCLASSIFICADO
037520;740;DESCLASSIFICADO
031944;740;DESCLASSIFICADO
026182;740;DESCLASSIFICADO
080807;735;DESCLASSIFICADO
070200;735;DESCLASSIFICADO
058862;735;DESCLASSIFICADO
054527;735;DESCLASSIFICADO
053193;735;DESCLASSIFICADO
047524;735;DESCLASSIFICADO
031851;735;DESCLASSIFICADO
007841;735;DESCLASSIFICADO
031390;725;DESCLASSIFICADO
025721;725;DESCLASSIFICADO
054620;715;DESCLASSIFICADO
043282;715;DESCLASSIFICADO
070676;710;DESCLASSIFICADO
037059;710;DESCLASSIFICADO
025324;710;DESCLASSIFICADO
020052;710;DESCLASSIFICADO
019655;710;DESCLASSIFICADO
014383;710;DESCLASSIFICADO
013986;710;DESCLASSIFICADO
008714;710;DESCLASSIFICADO
008317;710;DESCLASSIFICADO
065007;700;DESCLASSIFICADO
037431;700;DESCLASSIFICADO
031762;700;DESCLASSIFICADO
026093;700;DESCLASSIFICADO
002648;700;DESCLASSIFICADO
081907;690;DESCLASSIFICADO
048624;690;DESCLASSIFICADO
042955;690;DESCLASSIFICADO
037286;690;DESCLASSIFICADO
031617;690;DESCLASSIFICADO
025948;690;DESCLASSIFICADO
020279;690;DESCLASSIFICADO
089999;685;DESCLASSIFICADO
082052;685;DESCLASSIFICADO
080401;685;DESCLASSIFICADO
048769;685;DESCLASSIFICADO
047118;685;DESCLASSIFICADO
043100;685;DESCLASSIFICADO
042865;685;DESCLASSIFICADO
041449;685;DESCLASSIFICADO
037196;685;DESCLASSIFICADO
035780;685;DESCLASSIFICADO
030111;685;DESCLASSIFICADO
025858;685;DESCLASSIFICADO
014520;685;DESCLASSIFICADO
058456;680;DESCLASSIFICADO
052787;680;DESCLASSIFICADO
096495;675;DESCLASSIFICADO
092566;675;DESCLASSIFICADO
072361;675;DESCLASSIFICADO
055354;675;DESCLASSIFICADO
031527;675;DESCLASSIFICADO
020189;675;DESCLASSIFICADO
015671;675;DESCLASSIFICADO
010002;675;DESCLASSIFICADO
090573;670;DESCLASSIFICADO
070368;670;DESCLASSIFICADO
066914;670;DESCLASSIFICADO
066692;670;DESCLASSIFICADO
061245;670;DESCLASSIFICADO
061023;670;DESCLASSIFICADO
053361;670;DESCLASSIFICADO
013678;670;DESCLASSIFICADO
010224;670;DESCLASSIFICADO
004555;670;DESCLASSIFICADO
004333;670;DESCLASSIFICADO
072583;665;DESCLASSIFICADO
064699;665;DESCLASSIFICADO
059030;665;DESCLASSIFICADO
027231;665;DESCLASSIFICADO
021562;665;DESCLASSIFICADO
015893;665;DESCLASSIFICADO
008009;665;DESCLASSIFICADO
002340;665;DESCLASSIFICADO
092260;660;DESCLASSIFICADO
091713;660;DESCLASSIFICADO
082115;660;DESCLASSIFICADO
072055;660;DESCLASSIFICADO
066386;660;DESCLASSIFICADO
060717;660;DESCLASSIFICADO
054501;660;DESCLASSIFICADO
049379;660;DESCLASSIFICADO
048832;660;DESCLASSIFICADO
043710;660;DESCLASSIFICADO
043163;660;DESCLASSIFICADO
037494;660;DESCLASSIFICADO
031825;660;DESCLASSIFICADO
026156;660;DESCLASSIFICADO
082662;655;DESCLASSIFICADO
055048;655;DESCLASSIFICADO
031267;655;DESCLASSIFICADO
025598;655;DESCLASSIFICADO
009696;655;DESCLASSIFICADO
004027;655;DESCLASSIFICADO
082360;650;DESCLASSIFICADO
060415;650;DESCLASSIFICADO
070950;645;DESCLASSIFICADO
066699;645;DESCLASSIFICADO
061030;645;DESCLASSIFICADO
055361;645;DESCLASSIFICADO
019929;645;DESCLASSIFICADO
015678;645;DESCLASSIFICADO
014260;645;DESCLASSIFICADO
008591;645;DESCLASSIFICADO
004340;645;DESCLASSIFICADO
096502;640;DESCLASSIFICADO
092573;640;DESCLASSIFICADO
091958;640;DESCLASSIFICADO
072368;640;DESCLASSIFICADO
054746;640;DESCLASSIFICADO
049077;640;DESCLASSIFICADO
043408;640;DESCLASSIFICADO
037739;640;DESCLASSIFICADO
032070;640;DESCLASSIFICADO
019958;640;DESCLASSIFICADO
010009;640;DESCLASSIFICADO
070979;635;DESCLASSIFICADO
036965;635;DESCLASSIFICADO
031296;635;DESCLASSIFICADO
025627;635;DESCLASSIFICADO
014289;635;DESCLASSIFICADO
008620;635;DESCLASSIFICADO
090508;620;DESCLASSIFICADO
065004;620;DESCLASSIFICADO
064634;620;DESCLASSIFICADO
060419;620;DESCLASSIFICADO
053296;620;DESCLASSIFICADO
047627;620;DESCLASSIFICADO
043412;620;DESCLASSIFICADO
037743;620;DESCLASSIFICADO
025321;620;DESCLASSIFICADO
013983;620;DESCLASSIFICADO
013613;620;DESCLASSIFICADO
002645;620;DESCLASSIFICADO
002275;620;DESCLASSIFICADO
070673;615;DESCLASSIFICADO
064960;615;DESCLASSIFICADO
059335;615;DESCLASSIFICADO
059291;615;DESCLASSIFICADO
019652;615;DESCLASSIFICADO
008314;615;DESCLASSIFICADO
008270;615;DESCLASSIFICADO
002601;615;DESCLASSIFICADO
070303;610;DESCLASSIFICADO
058965;610;DESCLASSIFICADO
036995;610;DESCLASSIFICADO
025657;610;DESCLASSIFICADO
019988;610;DESCLASSIFICADO
007944;610;DESCLASSIFICADO
090605;605;DESCLASSIFICADO
070629;605;DESCLASSIFICADO
070400;605;DESCLASSIFICADO
065081;605;DESCLASSIFICADO
064731;605;DESCLASSIFICADO
064589;605;DESCLASSIFICADO
059062;605;DESCLASSIFICADO
058920;605;DESCLASSIFICADO
053393;605;DESCLASSIFICADO
047582;605;DESCLASSIFICADO
043172;605;DESCLASSIFICADO
037503;605;DESCLASSIFICADO
025398;605;DESCLASSIFICADO
019729;605;DESCLASSIFICADO
019608;605;DESCLASSIFICADO
014060;605;DESCLASSIFICADO
013939;605;DESCLASSIFICADO
013710;605;DESCLASSIFICADO
008391;605;DESCLASSIFICADO
008041;605;DESCLASSIFICADO
007899;605;DESCLASSIFICADO
002722;605;DESCLASSIFICADO
002372;605;DESCLASSIFICADO
002230;605;DESCLASSIFICADO
091962;600;DESCLASSIFICADO
082364;600;DESCLASSIFICADO
070750;600;DESCLASSIFICADO
054750;600;DESCLASSIFICADO
049081;600;DESCLASSIFICADO
031326;600;DESCLASSIFICADO
014319;600;DESCLASSIFICADO
008650;600;DESCLASSIFICADO
091722;595;DESCLASSIFICADO
082124;595;DESCLASSIFICADO
072497;595;DESCLASSIFICADO
054510;595;DESCLASSIFICADO
048841;595;DESCLASSIFICADO
031834;595;DESCLASSIFICADO
026165;595;DESCLASSIFICADO
021476;595;DESCLASSIFICADO
015807;595;DESCLASSIFICADO
010138;595;DESCLASSIFICADO
096631;585;DESCLASSIFICADO
090463;585;DESCLASSIFICADO
080865;585;DESCLASSIFICADO
070258;585;DESCLASSIFICADO
066828;585;DESCLASSIFICADO
061159;585;DESCLASSIFICADO
053251;585;DESCLASSIFICADO
004469;585;DESCLASSIFICADO
096239;580;DESCLASSIFICADO
092310;580;DESCLASSIFICADO
092217;580;DESCLASSIFICADO
086641;580;DESCLASSIFICADO
082712;580;DESCLASSIFICADO
082619;580;DESCLASSIFICADO
072012;580;DESCLASSIFICADO
066343;580;DESCLASSIFICADO
060767;580;DESCLASSIFICADO
060674;580;DESCLASSIFICADO
055005;580;DESCLASSIFICADO
049336;580;DESCLASSIFICADO
043667;580;DESCLASSIFICADO
003984;580;DESCLASSIFICADO
099993;575;DESCLASSIFICADO
090395;575;DESCLASSIFICADO
080797;575;DESCLASSIFICADO
058852;575;DESCLASSIFICADO
002162;575;DESCLASSIFICADO
096617;570;DESCLASSIFICADO
072483;570;DESCLASSIFICADO
070190;570;DESCLASSIFICADO
066814;570;DESCLASSIFICADO
064521;570;DESCLASSIFICADO
061145;570;DESCLASSIFICADO
053183;570;DESCLASSIFICADO
047514;570;DESCLASSIFICADO
021462;570;DESCLASSIFICADO
