CAMPUS LUIZ MENEGUEL
CURSO: ;Ciência  da Computação  - Integral  - 28 Vagas
IDENTIFICACAO;PONTUACAO;CLASSIFICACAO
087926;825;DESCLASSIFICADO
083997;825;DESCLASSIFICADO
076418;825;DESCLASSIFICADO
045045;825;DESCLASSIFICADO
033707;825;DESCLASSIFICADO
028038;825;DESCLASSIFICADO
094605;819;DESCLASSIFICADO
086016;819;DESCLASSIFICADO
078328;819;DESCLASSIFICADO
074400;819;DESCLASSIFICADO
050714;819;DESCLASSIFICADO
039376;819;DESCLASSIFICADO
072680;756;DESCLASSIFICADO
067011;756;DESCLASSIFICADO
027328;756;DESCLASSIFICADO
021659;756;DESCLASSIFICADO
015990;756;DESCLASSIFICADO
010321;756;DESCLASSIFICADO
004652;756;DESCLASSIFICADO
027484;735;DESCLASSIFICADO
021815;735;DESCLASSIFICADO
016146;735;DESCLASSIFICADO
097740;731;DESCLASSIFICADO
096168;731;DESCLASSIFICADO
096039;731;DESCLASSIFICADO
095830;731;DESCLASSIFICADO
094149;731;DESCLASSIFICADO
094020;731;DESCLASSIFICADO
093811;731;DESCLASSIFICADO
088142;731;DESCLASSIFICADO
086570;731;DESCLASSIFICADO
086441;731;DESCLASSIFICADO
086232;731;DESCLASSIFICADO
084551;731;DESCLASSIFICADO
084422;731;DESCLASSIFICADO
084213;731;DESCLASSIFICADO
078544;731;DESCLASSIFICADO
076843;731;DESCLASSIFICADO
076634;731;DESCLASSIFICADO
075963;731;DESCLASSIFICADO
074954;731;DESCLASSIFICADO
074825;731;DESCLASSIFICADO
074616;731;DESCLASSIFICADO
062268;731;DESCLASSIFICADO
056599;731;DESCLASSIFICADO
050930;731;DESCLASSIFICADO
045261;731;DESCLASSIFICADO
039592;731;DESCLASSIFICADO
033923;731;DESCLASSIFICADO
093940;729;DESCLASSIFICADO
086361;729;DESCLASSIFICADO
084342;729;DESCLASSIFICADO
084133;729;DESCLASSIFICADO
078464;729;DESCLASSIFICADO
076763;729;DESCLASSIFICADO
074745;729;DESCLASSIFICADO
074536;729;DESCLASSIFICADO
056519;729;DESCLASSIFICADO
050850;729;DESCLASSIFICADO
045181;729;DESCLASSIFICADO
039512;729;DESCLASSIFICADO
033843;729;DESCLASSIFICADO
028174;729;DESCLASSIFICADO
084768;723;DESCLASSIFICADO
078089;723;DESCLASSIFICADO
074161;723;DESCLASSIFICADO
072836;723;DESCLASSIFICADO
044806;723;DESCLASSIFICADO
033468;723;DESCLASSIFICADO
033153;723;DESCLASSIFICADO
016461;723;DESCLASSIFICADO
010477;723;DESCLASSIFICADO
004808;723;DESCLASSIFICADO
027357;722;DESCLASSIFICADO
016019;722;DESCLASSIFICADO
010350;722;DESCLASSIFICADO
004681;722;DESCLASSIFICADO
066993;718;DESCLASSIFICADO
027310;718;DESCLASSIFICADO
021641;718;DESCLASSIFICADO
015972;718;DESCLASSIFICADO
004634;718;DESCLASSIFICADO
094366;717;DESCLASSIFICADO
076179;717;DESCLASSIFICADO
039137;717;DESCLASSIFICADO
027799;717;DESCLASSIFICADO
022130;717;DESCLASSIFICADO
072662;712;DESCLASSIFICADO
010303;712;DESCLASSIFICADO
096088;711;DESCLASSIFICADO
095959;711;DESCLASSIFICADO
095750;711;DESCLASSIFICADO
094069;711;DESCLASSIFICADO
093731;711;DESCLASSIFICADO
088062;711;DESCLASSIFICADO
086490;711;DESCLASSIFICADO
086152;711;DESCLASSIFICADO
084471;711;DESCLASSIFICADO
076892;711;DESCLASSIFICADO
076554;711;DESCLASSIFICADO
074874;711;DESCLASSIFICADO
072701;705;DESCLASSIFICADO
067032;705;DESCLASSIFICADO
027349;705;DESCLASSIFICADO
072709;704;DESCLASSIFICADO
067040;704;DESCLASSIFICADO
021688;704;DESCLASSIFICADO
094470;698;DESCLASSIFICADO
083862;698;DESCLASSIFICADO
074265;698;DESCLASSIFICADO
044910;698;DESCLASSIFICADO
033572;698;DESCLASSIFICADO
027903;698;DESCLASSIFICADO
021992;698;DESCLASSIFICADO
010654;698;DESCLASSIFICADO
096086;697;DESCLASSIFICADO
095748;697;DESCLASSIFICADO
094067;697;DESCLASSIFICADO
086150;697;DESCLASSIFICADO
084131;697;DESCLASSIFICADO
076890;697;DESCLASSIFICADO
076761;697;DESCLASSIFICADO
074743;697;DESCLASSIFICADO
074534;697;DESCLASSIFICADO
050848;697;DESCLASSIFICADO
021680;693;DESCLASSIFICADO
016011;693;DESCLASSIFICADO
010342;693;DESCLASSIFICADO
004673;693;DESCLASSIFICADO
085881;692;DESCLASSIFICADO
078193;692;DESCLASSIFICADO
076283;692;DESCLASSIFICADO
072768;692;DESCLASSIFICADO
050579;692;DESCLASSIFICADO
039241;692;DESCLASSIFICADO
033085;692;DESCLASSIFICADO
022234;692;DESCLASSIFICADO
021747;692;DESCLASSIFICADO
016078;692;DESCLASSIFICADO
010409;692;DESCLASSIFICADO
004740;692;DESCLASSIFICADO
095957;691;DESCLASSIFICADO
093938;691;DESCLASSIFICADO
093729;691;DESCLASSIFICADO
088060;691;DESCLASSIFICADO
086488;691;DESCLASSIFICADO
086359;691;DESCLASSIFICADO
084469;691;DESCLASSIFICADO
084340;691;DESCLASSIFICADO
078462;691;DESCLASSIFICADO
076552;691;DESCLASSIFICADO
074872;691;DESCLASSIFICADO
056517;691;DESCLASSIFICADO
045179;691;DESCLASSIFICADO
039510;691;DESCLASSIFICADO
033841;691;DESCLASSIFICADO
028172;691;DESCLASSIFICADO
097687;686;DESCLASSIFICADO
095777;686;DESCLASSIFICADO
094450;686;DESCLASSIFICADO
094228;686;DESCLASSIFICADO
094096;686;DESCLASSIFICADO
093758;686;DESCLASSIFICADO
088089;686;DESCLASSIFICADO
086517;686;DESCLASSIFICADO
086179;686;DESCLASSIFICADO
084630;686;DESCLASSIFICADO
078173;686;DESCLASSIFICADO
076581;686;DESCLASSIFICADO
076263;686;DESCLASSIFICADO
076041;686;DESCLASSIFICADO
074772;686;DESCLASSIFICADO
074023;686;DESCLASSIFICADO
056546;686;DESCLASSIFICADO
050877;686;DESCLASSIFICADO
045208;686;DESCLASSIFICADO
044890;686;DESCLASSIFICADO
038999;686;DESCLASSIFICADO
033870;686;DESCLASSIFICADO
033330;686;DESCLASSIFICADO
027883;686;DESCLASSIFICADO
027661;686;DESCLASSIFICADO
016323;686;DESCLASSIFICADO
085861;680;DESCLASSIFICADO
083842;680;DESCLASSIFICADO
078373;680;DESCLASSIFICADO
076463;680;DESCLASSIFICADO
074245;680;DESCLASSIFICADO
067099;680;DESCLASSIFICADO
056428;680;DESCLASSIFICADO
039221;680;DESCLASSIFICADO
033752;680;DESCLASSIFICADO
033552;680;DESCLASSIFICADO
028083;680;DESCLASSIFICADO
027416;680;DESCLASSIFICADO
022214;680;DESCLASSIFICADO
094572;679;DESCLASSIFICADO
085983;679;DESCLASSIFICADO
083964;679;DESCLASSIFICADO
078295;679;DESCLASSIFICADO
074367;679;DESCLASSIFICADO
045012;679;DESCLASSIFICADO
039343;679;DESCLASSIFICADO
028005;679;DESCLASSIFICADO
022336;679;DESCLASSIFICADO
096115;674;DESCLASSIFICADO
095986;674;DESCLASSIFICADO
093967;674;DESCLASSIFICADO
086388;674;DESCLASSIFICADO
084498;674;DESCLASSIFICADO
084369;674;DESCLASSIFICADO
084160;674;DESCLASSIFICADO
078491;674;DESCLASSIFICADO
076919;674;DESCLASSIFICADO
076790;674;DESCLASSIFICADO
074901;674;DESCLASSIFICADO
074563;674;DESCLASSIFICADO
039539;674;DESCLASSIFICADO
076131;673;DESCLASSIFICADO
039089;673;DESCLASSIFICADO
